iteration,date,direction,entry_price,exit_price,stop_loss,position_size,pnl,duration_hours,balance,signal,exit_reason,is_partial,entry_rsi_14,exit_rsi_14,entry_macd_histogram,exit_macd_histogram,ensemble_score,market_phase,trend_strength
19,2024-08-03 00:00:00,short,61939.37,61558.45,66285.34,0.045007,14.36,1.5,7535.45,StrongSell,QuickProfitTaken,False,19.45,24.8,-139.979577,-86.719122,1.0,downtrend,0.3
18,2024-08-05 10:00:00,short,52637.68,51173.93,62973.3,0.024238,34.22,1.5,7569.66,StrongSell,QuickProfitTaken,False,40.63,33.64,55.507345,89.548861,1.0,downtrend,0.75
19,2024-08-05 10:00:00,short,52637.68,51173.93,62973.3,0.041749,58.94,1.5,7628.61,StrongSell,QuickProfitTaken,False,40.63,33.64,55.507345,89.548861,1.0,downtrend,0.75
18,2024-08-05 18:00:00,short,49686.66,53916.61,59333.34,0.034854,-149.24,4.5,7479.37,StrongSell,MaxDurationReached_neutral,False,52.3,64.3,98.170785,451.953456,1.0,downtrend,0.06
19,2024-08-05 18:00:00,short,49686.66,53916.61,59333.34,0.059444,-254.53,4.5,7224.84,StrongSell,MaxDurationReached_neutral,False,52.3,64.3,98.170785,451.953456,1.0,downtrend,0.06
18,2024-08-06 08:30:00,short,55469.47,54995.4,59643.87,0.03659,15.32,3.0,7240.16,StrongSell,QuickProfitTaken,False,65.88,36.27,-12.473483,-122.821286,1.0,uptrend,0.75
19,2024-08-06 08:30:00,short,55469.47,54995.4,59643.87,0.061248,25.65,3.0,7265.81,StrongSell,QuickProfitTaken,False,65.88,36.27,-12.473483,-122.821286,1.0,uptrend,0.75
19,2024-08-06 11:00:00,short,55162.7,55047.01,58689.15,0.007281,0.44,0.5,7266.25,StrongSell,PartialExit_12pct,True,39.44,39.4,-146.372674,-142.724782,1.0,ranging_at_support,0.53
18,2024-08-06 12:30:00,short,55162.7,54776.87,58689.15,0.031941,10.57,2.0,7276.82,StrongSell,QuickProfitTaken,False,39.44,32.64,-146.372674,-113.816965,1.0,ranging_at_support,0.53
19,2024-08-06 12:30:00,short,55162.7,54776.87,58689.15,0.053394,17.66,2.0,7294.49,StrongSell,QuickProfitTaken,False,39.44,32.64,-146.372674,-113.816965,1.0,ranging_at_support,0.53
18,2024-08-06 21:00:00,short,56065.45,56377.01,60840.67,0.038492,-14.16,6.0,7280.33,StrongSell,MaxDurationReached_uptrend,False,55.74,53.2,44.649532,-23.794488,1.0,uptrend,0.77
19,2024-08-06 21:00:00,short,56065.45,56377.01,60840.67,0.068972,-25.37,6.0,7254.96,StrongSell,MaxDurationReached_uptrend,False,55.74,53.2,44.649532,-23.794488,1.0,uptrend,0.77
18,2024-08-07 17:00:00,short,56026.06,55727.66,57956.46,0.105374,25.55,1.5,7280.51,StrongSell,QuickProfitTaken,False,24.37,14.6,-169.65995,-156.281913,1.0,neutral,0.31
19,2024-08-07 17:00:00,short,56026.06,55727.66,57956.46,0.10198,24.73,1.5,7305.24,StrongSell,QuickProfitTaken,False,24.37,14.6,-169.65995,-156.281913,1.0,neutral,0.31
18,2024-08-09 15:30:00,short,60295.02,59810.31,61845.21,0.014746,6.26,0.5,7311.5,StrongSell,PartialExit_15pct,True,31.39,20.31,-92.512459,-113.465779,1.0,neutral,0.46
19,2024-08-09 15:30:00,short,60295.02,59810.31,61845.21,0.017125,7.27,0.5,7318.77,StrongSell,PartialExit_18pct,True,31.39,20.31,-92.512459,-113.465779,1.0,neutral,0.46
18,2024-08-09 16:30:00,short,60295.02,60331.15,61845.21,0.083558,-8.06,1.5,7310.71,StrongSell,StopLoss,False,31.39,43.48,-92.512459,-70.166217,1.0,neutral,0.46
19,2024-08-09 16:30:00,short,60295.02,60331.15,61845.21,0.078012,-7.53,1.5,7303.19,StrongSell,StopLoss,False,31.39,43.48,-92.512459,-70.166217,1.0,neutral,0.46
18,2024-08-10 12:00:00,short,60361.5,60843.66,61740.12,0.098168,-53.28,6.5,7249.9,StrongSell,MaxDurationReached_neutral,False,39.33,68.26,-31.036731,26.893617,1.0,ranging_at_support,0.53
19,2024-08-10 12:00:00,short,60361.5,60843.66,61740.12,0.095028,-51.58,6.5,7198.33,StrongSell,MaxDurationReached_neutral,False,39.33,68.26,-31.036731,26.893617,1.0,ranging_at_support,0.53
18,2024-08-11 04:30:00,short,60978.55,60885.34,61805.3,0.011565,0.37,1.5,7198.7,StrongSell,PartialExit_12pct,True,65.47,44.09,14.864951,-15.391893,1.0,ranging_at_support,0.53
19,2024-08-11 04:30:00,short,60978.55,60885.34,61805.3,0.011195,0.36,1.5,7199.06,StrongSell,PartialExit_12pct,True,65.47,44.09,14.864951,-15.391893,1.0,ranging_at_support,0.53
18,2024-08-11 09:30:00,short,60978.55,61099.66,61805.3,0.084806,-15.45,6.5,7183.61,StrongSell,MaxDurationReached_neutral,False,65.47,52.11,14.864951,6.263491,1.0,ranging_at_support,0.53
19,2024-08-11 09:30:00,short,60978.55,61099.66,61805.3,0.082093,-14.96,6.5,7168.65,StrongSell,MaxDurationReached_neutral,False,65.47,52.11,14.864951,6.263491,1.0,ranging_at_support,0.53
19,2024-08-13 01:30:00,short,58785.16,59733.22,66702.94,0.007047,-7.1,4.5,7161.55,StrongSell,MaxDurationReached_neutral,False,41.52,71.31,-94.791908,63.63454,1.0,ranging_at_support,0.39
19,2024-08-13 10:00:00,short,59012.52,58712.43,60703.55,0.039154,9.44,1.5,7171.0,StrongSell,QuickProfitTaken,False,33.08,35.16,-29.010897,-53.977097,1.0,ranging_at_support,0.45
20,2024-08-13 10:00:00,short,59012.52,58712.43,60243.69,0.090853,21.91,1.5,7192.91,StrongSell,QuickProfitTaken,False,33.08,35.16,-29.010897,-53.977097,1.0,neutral,0.45
19,2024-08-13 16:00:00,short,58793.38,59789.31,59755.69,0.096564,-101.9,3.5,7091.01,StrongSell,StopLoss,False,47.48,69.86,-10.494155,99.618248,1.0,downtrend,0.53
20,2024-08-13 16:00:00,short,58793.38,59789.31,59755.69,0.091534,-96.59,3.5,6994.42,StrongSell,StopLoss,False,47.48,69.86,-10.494155,99.618248,1.0,downtrend,0.53
20,2024-08-14 05:30:00,short,60523.57,60828.4,64029.81,0.087449,-31.97,6.5,6962.46,StrongSell,MaxDurationReached_neutral,False,59.57,56.65,-53.323503,-29.04841,1.0,uptrend,0.75
19,2024-08-14 06:00:00,short,60895.23,60769.25,61969.72,0.091691,5.97,2.0,6968.43,StrongSell,MomentumBasedExit,False,56.37,58.04,-7.176715,-39.8033,1.0,uptrend,0.55
19,2024-08-14 12:00:00,short,60855.27,61702.71,61669.57,0.091842,-83.46,2.5,6884.97,StrongSell,StopLoss,False,51.46,72.76,-36.818089,41.47648,1.0,ranging_at_support,0.52
19,2024-08-14 16:00:00,short,59437.03,59013.49,62446.16,0.004235,1.54,1.0,6886.51,StrongSell,PartialExit_12pct,True,26.95,29.35,-246.969897,-238.279592,1.0,neutral,0.24
20,2024-08-14 16:00:00,short,59437.03,59013.49,63342.76,0.006707,2.44,1.0,6888.95,StrongSell,PartialExit_12pct,True,26.95,29.35,-246.969897,-238.279592,1.0,neutral,0.24
19,2024-08-14 16:30:00,short,59437.03,59116.58,62446.16,0.031053,8.11,1.5,6897.06,StrongSell,QuickProfitTaken,False,26.95,31.26,-246.969897,-220.996719,1.0,neutral,0.24
20,2024-08-14 16:30:00,short,59437.03,59116.58,63342.76,0.049188,12.84,1.5,6909.9,StrongSell,QuickProfitTaken,False,26.95,31.26,-246.969897,-220.996719,1.0,neutral,0.24
19,2024-08-17 03:00:00,short,59186.45,59022.7,60182.21,0.009271,0.97,1.0,6910.87,StrongSell,PartialExit_12pct,True,31.03,34.2,-29.065627,-38.721524,1.0,ranging_at_support,0.55
20,2024-08-17 03:00:00,short,59186.45,59022.7,60182.21,0.0107,1.12,1.0,6911.99,StrongSell,PartialExit_12pct,True,31.03,34.2,-29.065627,-38.721524,1.0,ranging_at_support,0.55
19,2024-08-17 08:30:00,short,59186.45,59279.23,60182.21,0.067986,-10.34,6.5,6901.66,StrongSell,MaxDurationReached_neutral,False,31.03,52.96,-29.065627,-13.779254,1.0,ranging_at_support,0.55
20,2024-08-17 08:30:00,short,59186.45,59279.23,60182.21,0.078466,-11.93,6.5,6889.73,StrongSell,MaxDurationReached_neutral,False,31.03,52.96,-29.065627,-13.779254,1.0,ranging_at_support,0.55
19,2024-08-17 19:30:00,short,59179.16,59466.28,59636.38,0.09315,-32.27,6.5,6857.45,StrongSell,MaxDurationReached_neutral,False,62.08,60.27,-5.352307,-5.516566,1.0,ranging_at_support,0.52
20,2024-08-17 19:30:00,short,59179.16,59466.28,59636.38,0.089009,-30.84,6.5,6826.62,StrongSell,MaxDurationReached_neutral,False,62.08,60.27,-5.352307,-5.516566,1.0,ranging_at_support,0.52
19,2024-08-18 12:00:00,short,59405.06,60102.42,60458.46,0.05372,-40.67,6.5,6785.94,StrongSell,MaxDurationReached_neutral,False,53.77,75.1,-17.427069,42.143371,1.0,ranging_at_support,0.53
20,2024-08-18 13:30:00,short,59539.33,59816.61,60684.28,0.087994,-29.65,6.5,6756.29,StrongSell,MaxDurationReached_neutral,False,51.35,57.06,-0.85376,11.496824,1.0,ranging_at_support,0.53
19,2024-08-18 22:00:00,short,59625.32,59459.27,60455.09,0.004204,0.45,0.5,6756.74,StrongSell,PartialExit_12pct,True,36.32,35.5,-28.600605,-34.686689,1.0,ranging_at_resistance,0.75
20,2024-08-18 22:00:00,short,59625.32,59459.27,60622.74,0.010489,1.12,0.5,6757.85,StrongSell,PartialExit_12pct,True,36.32,35.5,-28.600605,-34.686689,1.0,ranging_at_support,0.75
19,2024-08-18 23:00:00,short,59625.32,59001.92,60455.09,0.030832,17.39,1.5,6775.24,StrongSell,QuickProfitTaken,False,36.32,23.38,-28.600605,-69.180829,1.0,ranging_at_resistance,0.75
20,2024-08-18 23:00:00,short,59625.32,59001.92,60622.74,0.07692,43.39,1.5,6818.63,StrongSell,QuickProfitTaken,False,36.32,23.38,-28.600605,-69.180829,1.0,ranging_at_support,0.75
19,2024-08-21 18:00:00,short,59310.3,60435.42,60117.96,0.092089,-109.13,6.0,6709.5,StrongSell,MaxDurationReached_neutral,False,52.96,73.66,3.6436,82.129009,1.0,ranging_at_support,0.75
20,2024-08-22 17:30:00,short,60406.49,60157.27,61351.52,0.086957,16.43,2.0,6725.93,StrongSell,QuickProfitTaken,False,34.3,16.15,-95.706534,-87.106306,1.0,neutral,0.4
20,2024-08-23 03:00:00,short,60319.28,60589.68,61251.81,0.087333,-28.9,6.5,6697.03,StrongSell,MaxDurationReached_neutral,False,46.69,59.25,-3.316688,28.816693,1.0,ranging_at_resistance,0.75
20,2024-08-24 08:00:00,short,63712.71,64149.29,67458.62,0.042065,-21.06,6.5,6675.98,StrongSell,MaxDurationReached_neutral,False,62.3,68.59,-81.930655,-59.636361,1.0,uptrend,0.75
20,2024-08-24 21:00:00,short,64161.59,63951.24,65144.0,0.081387,11.9,6.5,6687.88,StrongSell,QuickProfitTaken,False,46.13,43.45,-49.929653,-38.058144,1.0,ranging_at_support,0.51
20,2024-08-25 05:30:00,short,63769.68,64133.96,64643.23,0.082059,-35.14,6.5,6652.74,StrongSell,MaxDurationReached_neutral,False,40.82,62.63,-61.454895,-0.108215,1.0,neutral,0.3
21,2024-08-25 21:00:00,long,64069.16,64404.34,63481.39,0.083441,22.61,7.0,6675.34,StrongBuy,QuickProfitTaken,False,57.63,68.04,24.290931,28.078198,1.0,ranging_at_resistance,0.54
20,2024-08-26 21:00:00,short,63318.21,62972.31,64497.37,0.079597,22.5,3.0,6697.85,StrongSell,QuickProfitTaken,False,38.75,35.58,-1.246042,-33.78413,1.0,ranging_at_resistance,0.39
21,2024-08-27 10:30:00,long,63138.04,62280.27,62217.79,0.085001,-78.24,4.5,6619.61,StrongBuy,MaxDurationReached_neutral,False,45.53,31.38,34.923821,-38.079589,1.0,ranging_at_resistance,0.54
20,2024-08-27 14:00:00,short,62402.23,62034.8,63277.26,0.01004,3.06,0.5,6622.67,StrongSell,PartialExit_12pct,True,35.3,27.48,-21.791051,-34.759387,1.0,downtrend,0.53
20,2024-08-27 15:00:00,short,62402.23,61758.02,63277.26,0.07363,42.86,1.5,6665.53,StrongSell,QuickProfitTaken,False,35.3,25.6,-21.791051,-62.743082,1.0,downtrend,0.53
20,2024-08-27 21:00:00,short,61828.47,61421.17,63057.75,0.08513,29.43,2.5,6694.95,StrongSell,QuickProfitTaken,False,42.67,37.27,20.225477,9.066979,1.0,downtrend,0.75
